0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
0.05,0.4285,0.3892,0.3496,0.3083,0.2670,0.2390,0.2310,0.2181,0.1839,0.1591,0.1685,0.1928,0.2129,0.2332,0.2604,0.2963,0.3405,0.3887,0.4373,0.4859
0.1,0.4286,0.3894,0.3499,0.3087,0.2674,0.2392,0.2310,0.2186,0.1847,0.1593,0.1679,0.1921,0.2123,0.2324,0.2592,0.2947,0.3385,0.3865,0.4350,0.4835
0.15,0.4287,0.3896,0.3502,0.3092,0.2679,0.2395,0.2311,0.2191,0.1855,0.1595,0.1673,0.1914,0.2116,0.2316,0.2581,0.2931,0.3366,0.3843,0.4327,0.4811
0.2,0.4288,0.3898,0.3505,0.3096,0.2684,0.2397,0.2312,0.2195,0.1864,0.1597,0.1668,0.1907,0.2110,0.2308,0.2569,0.2916,0.3346,0.3822,0.4304,0.4787
0.25,0.4289,0.3900,0.3508,0.3100,0.2688,0.2400,0.2313,0.2200,0.1872,0.1600,0.1662,0.1900,0.2104,0.2300,0.2558,0.2900,0.3327,0.3800,0.4281,0.4763
0.3,0.4457,0.4072,0.3683,0.3271,0.2839,0.2498,0.2328,0.2163,0.1857,0.1636,0.1726,0.1977,0.2210,0.2456,0.2770,0.3124,0.3488,0.3866,0.4253,0.4643
0.35,0.4573,0.4191,0.3805,0.3390,0.2944,0.2568,0.2341,0.2138,0.1847,0.1661,0.1767,0.2026,0.2278,0.2555,0.2905,0.3270,0.3599,0.3914,0.4233,0.4557
0.4,0.4658,0.4279,0.3894,0.3478,0.3022,0.2621,0.2353,0.2121,0.1839,0.1678,0.1795,0.2060,0.2324,0.2621,0.2996,0.3372,0.3679,0.3949,0.4220,0.4493
0.45,0.4724,0.4346,0.3963,0.3546,0.3083,0.2664,0.2364,0.2108,0.1834,0.1691,0.1815,0.2083,0.2356,0.2667,0.3060,0.3445,0.3739,0.3977,0.4210,0.4444
0.5,0.4776,0.4400,0.4018,0.3600,0.3133,0.2700,0.2375,0.2100,0.1830,0.1700,0.1829,0.2100,0.2379,0.2700,0.3106,0.3500,0.3786,0.4000,0.4203,0.4405
0.55,0.4946,0.4424,0.3918,0.3446,0.3015,0.2649,0.2359,0.2099,0.1846,0.1729,0.1859,0.2132,0.2428,0.2763,0.3165,0.3564,0.3887,0.4157,0.4420,0.4683
0.6,0.5084,0.4445,0.3835,0.3312,0.2912,0.2604,0.2346,0.2099,0.1859,0.1752,0.1882,0.2157,0.2466,0.2811,0.3210,0.3613,0.3964,0.4277,0.4585,0.4894
0.65,0.5199,0.4465,0.3764,0.3195,0.2821,0.2566,0.2335,0.2099,0.1871,0.1771,0.1900,0.2175,0.2494,0.2848,0.3245,0.3650,0.4022,0.4370,0.4714,0.5059
0.7,0.5296,0.4483,0.3704,0.3092,0.2740,0.2531,0.2325,0.2099,0.1881,0.1787,0.1914,0.2190,0.2516,0.2877,0.3273,0.3678,0.4067,0.4443,0.4816,0.5190
0.75,0.5380,0.4500,0.3653,0.3000,0.2667,0.2500,0.2317,0.2100,0.1889,0.1800,0.1926,0.2200,0.2532,0.2900,0.3295,0.3700,0.4102,0.4500,0.4898,0.5295
0.8,0.5303,0.4579,0.3892,0.3339,0.2981,0.2748,0.2541,0.2287,0.1992,0.1851,0.2007,0.2311,0.2610,0.2957,0.3390,0.3842,0.4251,0.4633,0.5013,0.5394
0.85,0.5233,0.4646,0.4091,0.3613,0.3235,0.2952,0.2724,0.2444,0.2082,0.1896,0.2073,0.2402,0.2678,0.3003,0.3467,0.3959,0.4376,0.4747,0.5112,0.5478
0.9,0.5170,0.4705,0.4259,0.3840,0.3448,0.3124,0.2879,0.2579,0.2163,0.1934,0.2126,0.2479,0.2737,0.3041,0.3527,0.4055,0.4482,0.4843,0.5196,0.5550
0.95,0.5113,0.4755,0.4404,0.4033,0.3629,0.3271,0.3012,0.2696,0.2237,0.1969,0.2170,0.2544,0.2789,0.3073,0.3575,0.4134,0.4572,0.4927,0.5270,0.5612
1,0.5060,0.4800,0.4530,0.4200,0.3786,0.3400,0.3128,0.2800,0.2304,0.2000,0.2206,0.2600,0.2836,0.3100,0.3613,0.4200,0.4650,0.5000,0.5334,0.5667
1.05,0.5117,0.4836,0.4547,0.4204,0.3786,0.3393,0.3107,0.2777,0.2300,0.2015,0.2223,0.2635,0.2914,0.3192,0.3676,0.4247,0.4712,0.5089,0.5450,0.5810
1.1,0.5169,0.4869,0.4563,0.4209,0.3786,0.3387,0.3088,0.2756,0.2296,0.2028,0.2238,0.2663,0.2980,0.3273,0.3731,0.4286,0.4765,0.5164,0.5548,0.5933
1.15,0.5216,0.4900,0.4578,0.4214,0.3787,0.3382,0.3072,0.2737,0.2292,0.2040,0.2250,0.2685,0.3036,0.3343,0.3780,0.4320,0.4808,0.5228,0.5633,0.6038
1.2,0.5258,0.4928,0.4592,0.4218,0.3788,0.3379,0.3058,0.2720,0.2289,0.2050,0.2259,0.2704,0.3084,0.3406,0.3824,0.4348,0.4845,0.5283,0.5705,0.6129
1.25,0.5297,0.4953,0.4605,0.4223,0.3790,0.3376,0.3046,0.2705,0.2285,0.2058,0.2267,0.2718,0.3124,0.3460,0.3863,0.4373,0.4876,0.5329,0.5768,0.6207
1.3,0.5333,0.4977,0.4618,0.4228,0.3792,0.3375,0.3035,0.2691,0.2282,0.2065,0.2273,0.2728,0.3158,0.3509,0.3899,0.4394,0.4901,0.5368,0.5821,0.6275
1.35,0.5366,0.5000,0.4630,0.4233,0.3795,0.3373,0.3026,0.2678,0.2279,0.2072,0.2278,0.2736,0.3186,0.3552,0.3931,0.4411,0.4921,0.5401,0.5867,0.6333
1.4,0.5397,0.5021,0.4642,0.4238,0.3797,0.3373,0.3018,0.2667,0.2276,0.2077,0.2281,0.2742,0.3210,0.3590,0.3961,0.4427,0.4938,0.5428,0.5906,0.6384
1.45,0.5426,0.5040,0.4653,0.4243,0.3800,0.3373,0.3011,0.2657,0.2274,0.2082,0.2284,0.2745,0.3230,0.3624,0.3987,0.4440,0.4951,0.5451,0.5939,0.6427
1.5,0.5453,0.5059,0.4663,0.4248,0.3803,0.3374,0.3005,0.2648,0.2271,0.2085,0.2285,0.2747,0.3246,0.3654,0.4012,0.4451,0.4961,0.5469,0.5967,0.6464
1.55,0.5478,0.5076,0.4673,0.4253,0.3807,0.3375,0.3000,0.2639,0.2269,0.2089,0.2286,0.2747,0.3258,0.3680,0.4034,0.4460,0.4969,0.5484,0.5990,0.6496
